id;actual;declared;union;intersection;undeclared;unused
dcjichoefijpinlfnjghokpkojhlhkgl.crx;4;5;5;4;0;1
dcmcdoaknaojppeomaejlbjbpgocdhok.crx;5;12;13;4;1;8
dcngeagmmhegagicpcmpinaoklddcgon.crx;1;3;3;1;0;2
ddadgcdmddljmpkpinkalnepdepplpkj.crx;1;2;2;1;0;1
ddaloccgjfibfpkalenodgehlhkgoahe.crx;0;3;3;0;0;3
dddpdjidpiddnldfpabcelinhoknaphc.crx;5;12;13;4;1;8
ddfgmkcedkmbgppkneoedidgnhfmbloc.crx;1;4;4;1;0;3
deeboegbjcnfgidliakhpoapnpomphji.crx;3;13;13;3;0;10
defekohaofmambflfpfoojkmfdpcbgko.crx;0;1;1;0;0;1
dehajjkfchegiinhcmoclkfbnmpgcahj.crx;1;3;3;1;0;2
dgbldpiollgaehnlegmfhioconikkjjh.crx;1;11;11;1;0;10
dggphokdgjikekfiakjcpidcclbmkfga.crx;0;0;0;0;0;0
dgkhjjcoidmkfegigfdedmafpfemccpk.crx;4;11;11;4;0;7
dgkkmcknielgdhebimdnfahpipajcpjn.crx;0;0;0;0;0;0
dgldcllfgcheelimlbmilnkilnamlhbd.crx;1;6;6;1;0;5
dgmanlpmmkibanfdgjocnabmcaclkmod.crx;2;3;3;2;0;1
dhdgffkkebhmkfjojejmpbldmpobfkfo.crx;10;14;16;8;2;6
dhiaggccakkgdfcadnklkbljcgicpckn.crx;1;4;4;1;0;3
dhipmoghimfdldnocmopeoanjmoolofl.crx;0;2;2;0;0;2
dhmigidcmpihgdjpnjngdbleinendbon.crx;4;7;7;4;0;3
dionggdmdobjjolppiiejleechniphok.crx;0;2;2;0;0;2
djcfdncoelnlbldjfhinnjlhdjlikmph.crx;0;2;2;0;0;2
djdmadneanknadilpjiknlnanaolmbfk.crx;1;5;5;1;0;4
djflhoibgkdhkhhcedjiklpkjnoahfmg.crx;2;6;6;2;0;4
djhangopedggnlnicpbjklghlckmndge.crx;0;1;1;0;0;1
djhgiahomjkabjdodlemhnhbnbfcomam.crx;1;10;10;1;0;9
dkaagdgjmgdmbnecmcefdhjekcoceebi.crx;0;3;3;0;0;3
dkfhfaphfkopdgpbfkebjfcblcafcmpi.crx;3;7;7;3;0;4
dkgjopcolgcafhnicdahjemapkniikeh.crx;3;10;10;3;0;7
dknigoplijkheljacmlefjpbmdidhfag.crx;5;12;13;4;1;8
dlknooajieciikpedpldejhhijacnbda.crx;1;2;2;1;0;1
dlombpffcodogboaljnamhpphpdkjdam.crx;0;1;1;0;0;1
dmdidbedhnbabookbkpkgomahnocimke.crx;1;2;2;1;0;1
dmghijelimhndkbmpgbldicpogfkceaj.crx;1;3;3;1;0;2
dmgjckeibmdfndlflobjhddhmemajjld.crx;1;7;7;1;0;6
dmglolhoplikcoamfgjgammjbgchgjdd.crx;2;4;4;2;0;2
dmikeamgnillkjcolomlbfaaknanegig.crx;1;2;2;1;0;1
dmnddeddcgdllibmaodanoonljfdmooc.crx;3;4;4;3;0;1
dncepekefegjiljlfbihljgogephdhph.crx;0;3;3;0;0;3
dngbhajancmfmdnmhhdknhooljkddgnk.crx;0;3;3;0;0;3
dogkpdfcklifaemcdfbildhcofnopogp.crx;0;1;1;0;0;1
doknpakcpjkbnincdeoocojhnhndmhek.crx;1;2;2;1;0;1
dpdmhfocilnekecfjgimjdeckachfbec.crx;2;22;23;1;1;21
dpgjihldbpodlmnjolekemlfbcajnmod.crx;1;1;1;1;0;0
dphfngjamcomlehblpblaacingmaojnm.crx;0;1;1;0;0;1
dpioikmjnfipgphjldakcaocbbpnfabl.crx;0;0;0;0;0;0
dpjamkmjmigaoobjbekmfgabipmfilij.crx;0;0;0;0;0;0
dplabnbcafdgpcjmibgkekpaejlfhnkl.crx;0;4;4;0;0;4
dpplabbmogkhghncfbfdeeokoefdjegm.crx;0;4;4;0;0;4
eablhnhdlibgncddnfdcipphcblbkndd.crx;1;3;3;1;0;2
